months_practicing,identity,years_practicing
480.0,Polyamory,40.0
45.0,Kitchen Table Polyamory,3.75
60.0,Relationship Anarchy,5.0
24.0,Garden Party Polyamory,2.0
378.0,Polyamory,31.5
120.0,Lifestyle/Swinger,10.0
66.0,Ethical / Consensual Non-monogamy,5.5
27.0,Solo Polyamory,2.25
24.0,Relationship Anarchy,2.0
33.0,Lifestyle/Swinger,2.75
15.0,Solo Polyamory,1.25
144.0,Monogamish,12.0
20.0,Ethical / Consensual Non-monogamy,1.6666666666666667
74.0,Non-hierarchical Polyamory,6.166666666666667
41.0,Relationship Anarchy,3.4166666666666665
36.0,Polyamory,3.0
96.0,Relationship Anarchy,8.0
480.0,Throuple/Triad,40.0
216.0,Ethical / Consensual Non-monogamy,18.0
11.0,Polyamory,0.9166666666666666
12.0,Solo Polyamory,1.0
276.0,Polyamory,23.0
30.0,Solo Polyamory,2.5
300.0,Open Relationship,25.0
48.0,Open Relationship,4.0
0.0,Relationship Anarchy,0.0
22.0,Lifestyle/Swinger,1.8333333333333333
84.0,Ethical / Consensual Non-monogamy,7.0
264.0,Relationship Anarchy,22.0
24.0,Polyamory,2.0
156.0,Hierarchical Polyamory,13.0
50.0,Ethical / Consensual Non-monogamy,4.166666666666667
49.0,Relationship Anarchy,4.083333333333333
16.0,Fetish/BDSM non-monogamy,1.3333333333333333
13.0,Relationship Anarchy,1.0833333333333333
324.0,Other CNM Type,27.0
84.0,Ethical / Consensual Non-monogamy,7.0
69.0,Polyamory,5.75
360.0,Ethical / Consensual Non-monogamy,30.0
96.0,Kitchen Table Polyamory,8.0
96.0,Solo Polyamory,8.0
36.0,Polyamory,3.0
612.0,Polyamory,51.0
85.0,Fetish/BDSM non-monogamy,7.083333333333333
27.0,Polyamory,2.25
96.0,Relationship Anarchy,8.0
108.0,Garden Party Polyamory,9.0
144.0,Relationship Anarchy,12.0
44.0,Polyamory,3.6666666666666665
156.0,Ethical / Consensual Non-monogamy,13.0
72.0,Ethical / Consensual Non-monogamy,6.0
26.0,Solo Polyamory,2.1666666666666665
28.0,Solo Polyamory,2.3333333333333335
108.0,Ethical / Consensual Non-monogamy,9.0
94.0,Relationship Anarchy,7.833333333333333
33.0,Solo Polyamory,2.75
63.0,Kitchen Table Polyamory,5.25
216.0,Fetish/BDSM non-monogamy,18.0
96.0,Ethical / Consensual Non-monogamy,8.0
168.0,Polyamory,14.0
24.0,Ethical / Consensual Non-monogamy,2.0
180.0,Ethical / Consensual Non-monogamy,15.0
165.0,Relationship Anarchy,13.75
79.0,Ethical / Consensual Non-monogamy,6.583333333333333
86.0,Relationship Anarchy,7.166666666666667
204.0,Polyamory,17.0
27.0,Relationship Anarchy,2.25
24.0,Monogamish,2.0
320.0,Kitchen Table Polyamory,26.666666666666668
18.0,Lifestyle/Swinger,1.5
30.0,Lifestyle/Swinger,2.5
120.0,Lifestyle/Swinger,10.0
104.0,Lifestyle/Swinger,8.666666666666666
84.0,Relationship Anarchy,7.0
10.0,Lifestyle/Swinger,0.8333333333333334
113.0,Ethical / Consensual Non-monogamy,9.416666666666666
90.0,Solo Polyamory,7.5
45.0,Relationship Anarchy,3.75
38.0,Polyamory,3.1666666666666665
36.0,Relationship Anarchy,3.0
6.0,Garden Party Polyamory,0.5
240.0,Garden Party Polyamory,20.0
120.0,Fetish/BDSM non-monogamy,10.0
96.0,Lifestyle/Swinger,8.0
156.0,Polyamory,13.0
72.0,Kitchen Table Polyamory,6.0
72.0,Polyamory,6.0
108.0,Polyamory,9.0
27.0,Other CNM Type,2.25
198.0,Relationship Anarchy,16.5
30.0,Non-hierarchical Polyamory,2.5
26.0,Non-hierarchical Polyamory,2.1666666666666665
18.0,Solo Polyamory,1.5
16.0,,1.3333333333333333
216.0,Ethical / Consensual Non-monogamy,18.0
22.0,Solo Polyamory,1.8333333333333333
10.0,Solo Polyamory,0.8333333333333334
84.0,Ethical / Consensual Non-monogamy,7.0
96.0,Ethical / Consensual Non-monogamy,8.0
102.0,Non-hierarchical Polyamory,8.5
24.0,Ethical / Consensual Non-monogamy,2.0
24.0,Non-hierarchical Polyamory,2.0
78.0,Relationship Anarchy,6.5
192.0,Non-hierarchical Polyamory,16.0
48.0,Throuple/Triad,4.0
132.0,Polyamory,11.0
6.0,Ethical / Consensual Non-monogamy,0.5
105.0,Relationship Anarchy,8.75
192.0,Ethical / Consensual Non-monogamy,16.0
180.0,Ethical / Consensual Non-monogamy,15.0
264.0,Polyamory,22.0
192.0,Non-hierarchical Polyamory,16.0
73.0,Polyamory,6.083333333333333
24.0,Polyamory,2.0
17.0,Polyamory,1.4166666666666667
31.0,Polyamory,2.5833333333333335
99.0,Ethical / Consensual Non-monogamy,8.25
72.0,Polyamory,6.0
72.0,Lifestyle/Swinger,6.0
37.0,Relationship Anarchy,3.0833333333333335
36.0,Polyamory,3.0
10.0,Polyamory,0.8333333333333334
72.0,Polyamory,6.0
60.0,Open Relationship,5.0
48.0,Other CNM Type,4.0
144.0,Polyamory,12.0
48.0,Polyamory,4.0
300.0,Open Relationship,25.0
0.0,Other CNM Type,0.0
38.0,Ethical / Consensual Non-monogamy,3.1666666666666665
6.0,Lifestyle/Swinger,0.5
36.0,Lifestyle/Swinger,3.0
180.0,Other CNM Type,15.0
144.0,Garden Party Polyamory,12.0
86.0,Solo Polyamory,7.166666666666667
216.0,Polyamory,18.0
42.0,Kitchen Table Polyamory,3.5
36.0,Non-hierarchical Polyamory,3.0
312.0,Open Relationship,26.0
36.0,Lifestyle/Swinger,3.0
72.0,Non-hierarchical Polyamory,6.0
52.0,Lifestyle/Swinger,4.333333333333333
192.0,Ethical / Consensual Non-monogamy,16.0
120.0,Relationship Anarchy,10.0
276.0,Garden Party Polyamory,23.0
420.0,Relationship Anarchy,35.0
36.0,Lifestyle/Swinger,3.0
12.0,Relationship Anarchy,1.0
4.0,Polyamory,0.3333333333333333
78.0,Non-hierarchical Polyamory,6.5
27.0,Solo Polyamory,2.25
240.0,Polyamory,20.0
42.0,Kitchen Table Polyamory,3.5
156.0,Ethical / Consensual Non-monogamy,13.0
138.0,Kitchen Table Polyamory,11.5
36.0,Polyamory,3.0
42.0,Non-hierarchical Polyamory,3.5
240.0,Polyfidelity,20.0
360.0,Solo Polyamory,30.0
60.0,Polyamory,5.0
96.0,Polyamory,8.0
104.0,Relationship Anarchy,8.666666666666666
62.0,Polyamory,5.166666666666667
480.0,Open Relationship,40.0
126.0,Fetish/BDSM non-monogamy,10.5
48.0,Kitchen Table Polyamory,4.0
348.0,Kitchen Table Polyamory,29.0
9.0,Polyamory,0.75
120.0,Relationship Anarchy,10.0
144.0,Fetish/BDSM non-monogamy,12.0
