months_practicing,identity,years_practicing
27.0,Polyamory,2.25
42.0,Polyamory,3.5
84.0,Polyamory,7.0
96.0,Relationship Anarchy,8.0
60.0,Hierarchical Polyamory,5.0
240.0,Open Relationship,20.0
63.0,Non-hierarchical Polyamory,5.25
120.0,Ethical / Consensual Non-monogamy,10.0
156.0,Polyamory,13.0
2.0,Ethical / Consensual Non-monogamy,0.16666666666666666
19.0,Hierarchical Polyamory,1.5833333333333333
12.0,Polyamory,1.0
48.0,Polyamory,4.0
12.0,Ethical / Consensual Non-monogamy,1.0
4.0,Polyamory,0.3333333333333333
189.0,Polyamory,15.75
24.0,Kitchen Table Polyamory,2.0
18.0,Relationship Anarchy,1.5
12.0,Monogamish,1.0
144.0,Solo Polyamory,12.0
27.0,Garden Party Polyamory,2.25
108.0,Relationship Anarchy,9.0
180.0,Non-hierarchical Polyamory,15.0
38.0,Polyamory,3.1666666666666665
21.0,Polyamory,1.75
36.0,Open Relationship,3.0
3.0,Kitchen Table Polyamory,0.25
137.0,Monogamish,11.416666666666666
156.0,Polyamory,13.0
97.0,Ethical / Consensual Non-monogamy,8.083333333333334
40.0,Hierarchical Polyamory,3.3333333333333335
33.0,Polyamory,2.75
288.0,Ethical / Consensual Non-monogamy,24.0
36.0,Throuple/Triad,3.0
156.0,Ethical / Consensual Non-monogamy,13.0
18.0,Non-hierarchical Polyamory,1.5
9.0,Polyamory,0.75
23.0,Relationship Anarchy,1.9166666666666667
156.0,Relationship Anarchy,13.0
36.0,Solo Polyamory,3.0
36.0,Solo Polyamory,3.0
480.0,Lifestyle/Swinger,40.0
118.0,Open Relationship,9.833333333333334
35.0,Throuple/Triad,2.9166666666666665
24.0,Relationship Anarchy,2.0
120.0,Relationship Anarchy,10.0
72.0,Relationship Anarchy,6.0
84.0,Polyamory,7.0
42.0,Kitchen Table Polyamory,3.5
160.0,Kitchen Table Polyamory,13.333333333333334
27.0,Non-hierarchical Polyamory,2.25
300.0,Relationship Anarchy,25.0
120.0,Polyamory,10.0
84.0,Ethical / Consensual Non-monogamy,7.0
88.0,Non-hierarchical Polyamory,7.333333333333333
39.0,Solo Polyamory,3.25
4.0,Hierarchical Polyamory,0.3333333333333333
180.0,Relationship Anarchy,15.0
50.0,Polyamory,4.166666666666667
72.0,Hierarchical Polyamory,6.0
36.0,Polyamory,3.0
60.0,Relationship Anarchy,5.0
27.0,Relationship Anarchy,2.25
41.0,Kitchen Table Polyamory,3.4166666666666665
29.0,Ethical / Consensual Non-monogamy,2.4166666666666665
26.0,Ethical / Consensual Non-monogamy,2.1666666666666665
60.0,Relationship Anarchy,5.0
45.0,Relationship Anarchy,3.75
36.0,Polyamory,3.0
408.0,Kitchen Table Polyamory,34.0
61.0,Ethical / Consensual Non-monogamy,5.083333333333333
48.0,Garden Party Polyamory,4.0
36.0,Relationship Anarchy,3.0
12.0,Polyamory,1.0
134.0,Relationship Anarchy,11.166666666666666
228.0,Non-hierarchical Polyamory,19.0
324.0,Polyamory,27.0
85.0,Hierarchical Polyamory,7.083333333333333
47.0,Throuple/Triad,3.9166666666666665
48.0,Polyamory,4.0
180.0,Relationship Anarchy,15.0
204.0,Solo Polyamory,17.0
120.0,Polyamory,10.0
270.0,Open Relationship,22.5
36.0,Relationship Anarchy,3.0
46.0,Solo Polyamory,3.8333333333333335
15.0,Open Relationship,1.25
276.0,Garden Party Polyamory,23.0
53.0,Ethical / Consensual Non-monogamy,4.416666666666667
123.0,Relationship Anarchy,10.25
89.0,Polyamory,7.416666666666667
51.0,Polyamory,4.25
84.0,Open Relationship,7.0
168.0,Polyamory,14.0
33.0,Solo Polyamory,2.75
164.0,Relationship Anarchy,13.666666666666666
300.0,Polyamory,25.0
54.0,Ethical / Consensual Non-monogamy,4.5
132.0,Kitchen Table Polyamory,11.0
60.0,Ethical / Consensual Non-monogamy,5.0
8.0,Relationship Anarchy,0.6666666666666666
60.0,Polyamory,5.0
84.0,Non-hierarchical Polyamory,7.0
33.0,Hierarchical Polyamory,2.75
4.0,Open Relationship,0.3333333333333333
180.0,Monogamish,15.0
68.0,Kitchen Table Polyamory,5.666666666666667
24.0,Relationship Anarchy,2.0
104.0,Relationship Anarchy,8.666666666666666
84.0,Polyamory,7.0
48.0,Polyamory,4.0
72.0,Solo Polyamory,6.0
252.0,Kitchen Table Polyamory,21.0
170.0,Fetish/BDSM non-monogamy,14.166666666666666
132.0,Kitchen Table Polyamory,11.0
12.0,Polyamory,1.0
26.0,Monogamish,2.1666666666666665
156.0,Polyamory,13.0
130.0,Kitchen Table Polyamory,10.833333333333334
42.0,Solo Polyamory,3.5
199.0,Garden Party Polyamory,16.583333333333332
66.0,Non-hierarchical Polyamory,5.5
156.0,Ethical / Consensual Non-monogamy,13.0
35.0,Relationship Anarchy,2.9166666666666665
49.0,Open Relationship,4.083333333333333
156.0,Non-hierarchical Polyamory,13.0
54.0,Polyamory,4.5
32.0,Non-hierarchical Polyamory,2.6666666666666665
32.0,Solo Polyamory,2.6666666666666665
22.0,Ethical / Consensual Non-monogamy,1.8333333333333333
120.0,Relationship Anarchy,10.0
120.0,Relationship Anarchy,10.0
162.0,Non-hierarchical Polyamory,13.5
121.0,Relationship Anarchy,10.083333333333334
89.0,Polyamory,7.416666666666667
96.0,Relationship Anarchy,8.0
32.0,Ethical / Consensual Non-monogamy,2.6666666666666665
66.0,Ethical / Consensual Non-monogamy,5.5
20.0,Polyamory,1.6666666666666667
15.0,Ethical / Consensual Non-monogamy,1.25
33.0,Ethical / Consensual Non-monogamy,2.75
12.0,Solo Polyamory,1.0
0.0,Kitchen Table Polyamory,0.0
0.0,Monogamish,0.0
150.0,Polyamory,12.5
72.0,Polyamory,6.0
348.0,Ethical / Consensual Non-monogamy,29.0
264.0,Lifestyle/Swinger,22.0
10.0,Ethical / Consensual Non-monogamy,0.8333333333333334
108.0,Non-hierarchical Polyamory,9.0
60.0,Polyamory,5.0
21.0,Hierarchical Polyamory,1.75
294.0,Kitchen Table Polyamory,24.5
60.0,Non-hierarchical Polyamory,5.0
18.0,Polyamory,1.5
192.0,Polyamory,16.0
120.0,Polyamory,10.0
27.0,Polyamory,2.25
3.0,Non-hierarchical Polyamory,0.25
300.0,Polyamory,25.0
20.0,Solo Polyamory,1.6666666666666667
126.0,Relationship Anarchy,10.5
115.0,Open Relationship,9.583333333333334
36.0,Relationship Anarchy,3.0
35.0,Polyamory,2.9166666666666665
84.0,Polyamory,7.0
120.0,Kitchen Table Polyamory,10.0
39.0,Kitchen Table Polyamory,3.25
7.0,Relationship Anarchy,0.5833333333333334
70.0,Ethical / Consensual Non-monogamy,5.833333333333333
10.0,Open Relationship,0.8333333333333334
60.0,Relationship Anarchy,5.0
156.0,Open Relationship,13.0
120.0,Hierarchical Polyamory,10.0
36.0,Relationship Anarchy,3.0
180.0,Ethical / Consensual Non-monogamy,15.0
144.0,Throuple/Triad,12.0
60.0,Ethical / Consensual Non-monogamy,5.0
264.0,Kitchen Table Polyamory,22.0
30.0,Polyamory,2.5
19.0,Non-hierarchical Polyamory,1.5833333333333333
12.0,Ethical / Consensual Non-monogamy,1.0
34.0,Relationship Anarchy,2.8333333333333335
52.0,Polyamory,4.333333333333333
93.0,Ethical / Consensual Non-monogamy,7.75
168.0,Hierarchical Polyamory,14.0
36.0,Polyamory,3.0
90.0,Kitchen Table Polyamory,7.5
36.0,Polyamory,3.0
113.0,Open Relationship,9.416666666666666
36.0,Hierarchical Polyamory,3.0
66.0,Polyamory,5.5
240.0,Kitchen Table Polyamory,20.0
26.0,Polyamory,2.1666666666666665
36.0,Solo Polyamory,3.0
60.0,Ethical / Consensual Non-monogamy,5.0
126.0,Non-hierarchical Polyamory,10.5
65.0,Relationship Anarchy,5.416666666666667
60.0,Ethical / Consensual Non-monogamy,5.0
36.0,Relationship Anarchy,3.0
108.0,Ethical / Consensual Non-monogamy,9.0
28.0,Open Relationship,2.3333333333333335
32.0,Relationship Anarchy,2.6666666666666665
89.0,Ethical / Consensual Non-monogamy,7.416666666666667
149.0,Kitchen Table Polyamory,12.416666666666666
38.0,Solo Polyamory,3.1666666666666665
120.0,Solo Polyamory,10.0
112.0,Ethical / Consensual Non-monogamy,9.333333333333334
56.0,Polyamory,4.666666666666667
240.0,Polyamory,20.0
35.0,Relationship Anarchy,2.9166666666666665
29.0,Ethical / Consensual Non-monogamy,2.4166666666666665
36.0,Ethical / Consensual Non-monogamy,3.0
84.0,Polyamory,7.0
84.0,Open Relationship,7.0
72.0,Solo Polyamory,6.0
75.0,Polyamory,6.25
156.0,Polyamory,13.0
114.0,Garden Party Polyamory,9.5
276.0,Relationship Anarchy,23.0
66.0,Kitchen Table Polyamory,5.5
54.0,Relationship Anarchy,4.5
216.0,Garden Party Polyamory,18.0
32.0,Polyamory,2.6666666666666665
7.0,Solo Polyamory,0.5833333333333334
350.0,Non-hierarchical Polyamory,29.166666666666668
24.0,Polyamory,2.0
24.0,Kitchen Table Polyamory,2.0
19.0,Kitchen Table Polyamory,1.5833333333333333
6.0,Polyamory,0.5
156.0,Polyamory,13.0
84.0,Non-hierarchical Polyamory,7.0
108.0,Kitchen Table Polyamory,9.0
120.0,Ethical / Consensual Non-monogamy,10.0
158.0,Ethical / Consensual Non-monogamy,13.166666666666666
96.0,Polyamory,8.0
97.0,Relationship Anarchy,8.083333333333334
61.0,Relationship Anarchy,5.083333333333333
72.0,Polyamory,6.0
60.0,Solo Polyamory,5.0
36.0,Fetish/BDSM non-monogamy,3.0
0.0,Relationship Anarchy,0.0
137.0,Ethical / Consensual Non-monogamy,11.416666666666666
72.0,Ethical / Consensual Non-monogamy,6.0
6.0,Polyamory,0.5
6.0,Ethical / Consensual Non-monogamy,0.5
24.0,Relationship Anarchy,2.0
0.0,Relationship Anarchy,0.0
108.0,Relationship Anarchy,9.0
7.0,Polyamory,0.5833333333333334
36.0,Lifestyle/Swinger,3.0
24.0,Polyamory,2.0
18.0,Open Relationship,1.5
12.0,Non-hierarchical Polyamory,1.0
24.0,Fetish/BDSM non-monogamy,2.0
57.0,Other CNM Type,4.75
240.0,Lifestyle/Swinger,20.0
168.0,Non-hierarchical Polyamory,14.0
46.0,Polyamory,3.8333333333333335
21.0,Open Relationship,1.75
49.0,Polyamory,4.083333333333333
48.0,Kitchen Table Polyamory,4.0
36.0,Polyamory,3.0
120.0,Hierarchical Polyamory,10.0
24.0,Other CNM Type,2.0
108.0,Polyamory,9.0
12.0,Kitchen Table Polyamory,1.0
0.0,Relationship Anarchy,0.0
0.0,Fetish/BDSM non-monogamy,0.0
144.0,Polyamory,12.0
144.0,Solo Polyamory,12.0
147.0,Polyamory,12.25
118.0,Kitchen Table Polyamory,9.833333333333334
240.0,Polyamory,20.0
16.0,Polyamory,1.3333333333333333
120.0,Solo Polyamory,10.0
4.0,Polyamory,0.3333333333333333
156.0,Open Relationship,13.0
56.0,Polyamory,4.666666666666667
12.0,Polyamory,1.0
63.0,Polyamory,5.25
96.0,Polyamory,8.0
60.0,Polyamory,5.0
42.0,Polyamory,3.5
36.0,Hierarchical Polyamory,3.0
168.0,Polyamory,14.0
42.0,Polyamory,3.5
0.0,Polyamory,0.0
81.0,Polyamory,6.75
120.0,Kitchen Table Polyamory,10.0
108.0,Polyamory,9.0
36.0,Open Relationship,3.0
9.0,Kitchen Table Polyamory,0.75
77.0,Ethical / Consensual Non-monogamy,6.416666666666667
48.0,Polyamory,4.0
9.0,Garden Party Polyamory,0.75
36.0,Hierarchical Polyamory,3.0
10.0,Ethical / Consensual Non-monogamy,0.8333333333333334
120.0,Open Relationship,10.0
84.0,Fetish/BDSM non-monogamy,7.0
161.0,Throuple/Triad,13.416666666666666
42.0,Ethical / Consensual Non-monogamy,3.5
41.0,Polyamory,3.4166666666666665
10.0,Kitchen Table Polyamory,0.8333333333333334
300.0,Hierarchical Polyamory,25.0
34.0,Polyamory,2.8333333333333335
57.0,Ethical / Consensual Non-monogamy,4.75
0.0,Polyamory,0.0
180.0,Open Relationship,15.0
15.0,Kitchen Table Polyamory,1.25
15.0,Garden Party Polyamory,1.25
168.0,Polyamory,14.0
79.0,Kitchen Table Polyamory,6.583333333333333
60.0,Polyamory,5.0
49.0,Non-hierarchical Polyamory,4.083333333333333
36.0,Polyamory,3.0
36.0,Relationship Anarchy,3.0
132.0,Relationship Anarchy,11.0
24.0,Solo Polyamory,2.0
62.0,Relationship Anarchy,5.166666666666667
168.0,Ethical / Consensual Non-monogamy,14.0
105.0,Solo Polyamory,8.75
336.0,Ethical / Consensual Non-monogamy,28.0
72.0,Polyamory,6.0
20.0,Solo Polyamory,1.6666666666666667
48.0,Solo Polyamory,4.0
144.0,Polyamory,12.0
120.0,Relationship Anarchy,10.0
18.0,Relationship Anarchy,1.5
48.0,Polyamory,4.0
9.0,Solo Polyamory,0.75
240.0,Monogamish,20.0
18.0,Kitchen Table Polyamory,1.5
32.0,Polyamory,2.6666666666666665
30.0,Other CNM Type,2.5
120.0,Monogamish,10.0
36.0,Polyamory,3.0
96.0,Polyamory,8.0
180.0,Polyamory,15.0
89.0,Open Relationship,7.416666666666667
72.0,Polyamory,6.0
68.0,Polyamory,5.666666666666667
96.0,Relationship Anarchy,8.0
12.0,Solo Polyamory,1.0
53.0,Polyamory,4.416666666666667
120.0,Polyamory,10.0
65.0,Kitchen Table Polyamory,5.416666666666667
72.0,Polyamory,6.0
36.0,Other CNM Type,3.0
72.0,Ethical / Consensual Non-monogamy,6.0
34.0,Relationship Anarchy,2.8333333333333335
264.0,Relationship Anarchy,22.0
0.0,Relationship Anarchy,0.0
28.0,Polyamory,2.3333333333333335
4.0,Ethical / Consensual Non-monogamy,0.3333333333333333
49.0,Ethical / Consensual Non-monogamy,4.083333333333333
36.0,Solo Polyamory,3.0
126.0,Non-hierarchical Polyamory,10.5
134.0,Non-hierarchical Polyamory,11.166666666666666
84.0,Non-hierarchical Polyamory,7.0
9.0,Polyamory,0.75
96.0,Polyamory,8.0
288.0,Polyamory,24.0
156.0,Relationship Anarchy,13.0
240.0,Kitchen Table Polyamory,20.0
360.0,Ethical / Consensual Non-monogamy,30.0
96.0,Polyamory,8.0
85.0,Monogamish,7.083333333333333
46.0,Open Relationship,3.8333333333333335
27.0,Open Relationship,2.25
48.0,Ethical / Consensual Non-monogamy,4.0
12.0,Polyamory,1.0
16.0,Fetish/BDSM non-monogamy,1.3333333333333333
6.0,Polyamory,0.5
26.0,Polyamory,2.1666666666666665
264.0,Non-hierarchical Polyamory,22.0
335.0,Ethical / Consensual Non-monogamy,27.916666666666668
84.0,Polyamory,7.0
600.0,Polyamory,50.0
52.0,Non-hierarchical Polyamory,4.333333333333333
1203.0,Hierarchical Polyamory,100.25
266.0,Ethical / Consensual Non-monogamy,22.166666666666668
660.0,Ethical / Consensual Non-monogamy,55.0
73.0,Relationship Anarchy,6.083333333333333
182.0,Solo Polyamory,15.166666666666666
360.0,Polyamory,30.0
30.0,Polyamory,2.5
5.0,Ethical / Consensual Non-monogamy,0.4166666666666667
72.0,Kitchen Table Polyamory,6.0
360.0,Polyamory,30.0
86.0,Solo Polyamory,7.166666666666667
210.0,Polyamory,17.5
53.0,Lifestyle/Swinger,4.416666666666667
126.0,Polyamory,10.5
96.0,Polyamory,8.0
76.0,Polyamory,6.333333333333333
180.0,Relationship Anarchy,15.0
303.0,Ethical / Consensual Non-monogamy,25.25
24.0,Polyamory,2.0
36.0,Kitchen Table Polyamory,3.0
24.0,Ethical / Consensual Non-monogamy,2.0
12.0,Solo Polyamory,1.0
54.0,Ethical / Consensual Non-monogamy,4.5
80.0,Garden Party Polyamory,6.666666666666667
9.0,Relationship Anarchy,0.75
20.0,Monogamish,1.6666666666666667
180.0,Garden Party Polyamory,15.0
51.0,Relationship Anarchy,4.25
19.0,Kitchen Table Polyamory,1.5833333333333333
30.0,Relationship Anarchy,2.5
26.0,Polyamory,2.1666666666666665
36.0,Relationship Anarchy,3.0
72.0,Polyamory,6.0
96.0,Ethical / Consensual Non-monogamy,8.0
24.0,Polyamory,2.0
24.0,Polyamory,2.0
96.0,Throuple/Triad,8.0
36.0,Polyamory,3.0
96.0,Open Relationship,8.0
36.0,Polyamory,3.0
105.0,Kitchen Table Polyamory,8.75
108.0,Relationship Anarchy,9.0
192.0,Relationship Anarchy,16.0
54.0,Polyamory,4.5
48.0,Non-hierarchical Polyamory,4.0
33.0,Polyamory,2.75
46.0,Ethical / Consensual Non-monogamy,3.8333333333333335
38.0,Relationship Anarchy,3.1666666666666665
147.0,Ethical / Consensual Non-monogamy,12.25
112.0,Throuple/Triad,9.333333333333334
36.0,Polyamory,3.0
69.0,Ethical / Consensual Non-monogamy,5.75
144.0,Ethical / Consensual Non-monogamy,12.0
96.0,Kitchen Table Polyamory,8.0
36.0,Polyamory,3.0
60.0,Polyamory,5.0
108.0,Ethical / Consensual Non-monogamy,9.0
37.0,Solo Polyamory,3.0833333333333335
30.0,Ethical / Consensual Non-monogamy,2.5
84.0,Polyamory,7.0
52.0,Polyamory,4.333333333333333
84.0,Non-hierarchical Polyamory,7.0
9.0,Monogamish,0.75
0.0,Ethical / Consensual Non-monogamy,0.0
204.0,Ethical / Consensual Non-monogamy,17.0
39.0,Solo Polyamory,3.25
180.0,Kitchen Table Polyamory,15.0
12.0,Non-hierarchical Polyamory,1.0
96.0,Relationship Anarchy,8.0
110.0,Polyamory,9.166666666666666
108.0,Solo Polyamory,9.0
180.0,Polyamory,15.0
6.0,Polyamory,0.5
12.0,Monogamish,1.0
156.0,Polyamory,13.0
14.0,Ethical / Consensual Non-monogamy,1.1666666666666667
66.0,Polyamory,5.5
46.0,Polyamory,3.8333333333333335
70.0,Relationship Anarchy,5.833333333333333
240.0,Kitchen Table Polyamory,20.0
56.0,Solo Polyamory,4.666666666666667
0.0,Ethical / Consensual Non-monogamy,0.0
72.0,Open Relationship,6.0
107.0,Ethical / Consensual Non-monogamy,8.916666666666666
96.0,Kitchen Table Polyamory,8.0
240.0,Ethical / Consensual Non-monogamy,20.0
70.0,Solo Polyamory,5.833333333333333
144.0,Polyamory,12.0
46.0,Kitchen Table Polyamory,3.8333333333333335
48.0,Solo Polyamory,4.0
300.0,Monogamish,25.0
72.0,Polyfidelity,6.0
96.0,Polyamory,8.0
120.0,Ethical / Consensual Non-monogamy,10.0
300.0,Polyamory,25.0
60.0,Solo Polyamory,5.0
40.0,Ethical / Consensual Non-monogamy,3.3333333333333335
24.0,Polyamory,2.0
0.0,Relationship Anarchy,0.0
12.0,Throuple/Triad,1.0
96.0,Throuple/Triad,8.0
48.0,Lifestyle/Swinger,4.0
240.0,Solo Polyamory,20.0
90.0,Relationship Anarchy,7.5
132.0,Relationship Anarchy,11.0
240.0,Kitchen Table Polyamory,20.0
97.0,Ethical / Consensual Non-monogamy,8.083333333333334
46.0,Solo Polyamory,3.8333333333333335
120.0,Polyamory,10.0
108.0,Ethical / Consensual Non-monogamy,9.0
33.0,Kitchen Table Polyamory,2.75
48.0,Open Relationship,4.0
60.0,Ethical / Consensual Non-monogamy,5.0
240.0,Polyamory,20.0
122.0,Polyamory,10.166666666666666
45.0,Other CNM Type,3.75
108.0,Polyamory,9.0
63.0,Non-hierarchical Polyamory,5.25
11.0,Open Relationship,0.9166666666666666
216.0,Relationship Anarchy,18.0
72.0,Relationship Anarchy,6.0
48.0,Relationship Anarchy,4.0
60.0,Relationship Anarchy,5.0
132.0,Solo Polyamory,11.0
420.0,Ethical / Consensual Non-monogamy,35.0
300.0,Non-hierarchical Polyamory,25.0
41.0,Polyamory,3.4166666666666665
55.0,Relationship Anarchy,4.583333333333333
2.0,Kitchen Table Polyamory,0.16666666666666666
45.0,Relationship Anarchy,3.75
48.0,Ethical / Consensual Non-monogamy,4.0
30.0,Kitchen Table Polyamory,2.5
72.0,Lifestyle/Swinger,6.0
180.0,Garden Party Polyamory,15.0
40.0,Lifestyle/Swinger,3.3333333333333335
216.0,Hierarchical Polyamory,18.0
24.0,Polyamory,2.0
26.0,Relationship Anarchy,2.1666666666666665
15.0,Other CNM Type,1.25
5.0,Polyamory,0.4166666666666667
120.0,Polyamory,10.0
60.0,Polyamory,5.0
240.0,Relationship Anarchy,20.0
36.0,Solo Polyamory,3.0
168.0,Ethical / Consensual Non-monogamy,14.0
13.0,Polyamory,1.0833333333333333
76.0,Polyamory,6.333333333333333
29.0,Relationship Anarchy,2.4166666666666665
9.0,Open Relationship,0.75
0.0,Polyamory,0.0
60.0,Relationship Anarchy,5.0
120.0,Solo Polyamory,10.0
12.0,Solo Polyamory,1.0
30.0,Ethical / Consensual Non-monogamy,2.5
52.0,Hierarchical Polyamory,4.333333333333333
38.0,Polyfidelity,3.1666666666666665
36.0,Hierarchical Polyamory,3.0
360.0,Polyamory,30.0
96.0,Kitchen Table Polyamory,8.0
72.0,Ethical / Consensual Non-monogamy,6.0
84.0,Relationship Anarchy,7.0
85.0,Polyamory,7.083333333333333
6.0,Throuple/Triad,0.5
76.0,Monogamish,6.333333333333333
108.0,Solo Polyamory,9.0
36.0,Hierarchical Polyamory,3.0
39.0,Garden Party Polyamory,3.25
36.0,Hierarchical Polyamory,3.0
38.0,Relationship Anarchy,3.1666666666666665
54.0,Fetish/BDSM non-monogamy,4.5
5.0,Polyfidelity,0.4166666666666667
84.0,Non-hierarchical Polyamory,7.0
48.0,Relationship Anarchy,4.0
132.0,Non-hierarchical Polyamory,11.0
156.0,Relationship Anarchy,13.0
48.0,Open Relationship,4.0
0.0,Relationship Anarchy,0.0
36.0,Polyamory,3.0
20.0,Ethical / Consensual Non-monogamy,1.6666666666666667
70.0,Non-hierarchical Polyamory,5.833333333333333
83.0,Lifestyle/Swinger,6.916666666666667
312.0,Polyamory,26.0
25.0,Polyamory,2.0833333333333335
228.0,Ethical / Consensual Non-monogamy,19.0
36.0,Open Relationship,3.0
54.0,Relationship Anarchy,4.5
65.0,Ethical / Consensual Non-monogamy,5.416666666666667
108.0,Relationship Anarchy,9.0
72.0,Open Relationship,6.0
516.0,Garden Party Polyamory,43.0
156.0,Solo Polyamory,13.0
117.0,Polyamory,9.75
14.0,Open Relationship,1.1666666666666667
48.0,Polyamory,4.0
78.0,Kitchen Table Polyamory,6.5
120.0,Relationship Anarchy,10.0
125.0,Other CNM Type,10.416666666666666
170.0,Solo Polyamory,14.166666666666666
48.0,Ethical / Consensual Non-monogamy,4.0
108.0,Ethical / Consensual Non-monogamy,9.0
6.0,Polyamory,0.5
0.0,Polyamory,0.0
48.0,Polyamory,4.0
8.0,Solo Polyamory,0.6666666666666666
12.0,Ethical / Consensual Non-monogamy,1.0
120.0,Polyamory,10.0
118.0,Kitchen Table Polyamory,9.833333333333334
53.0,Kitchen Table Polyamory,4.416666666666667
45.0,Garden Party Polyamory,3.75
87.0,Polyamory,7.25
600.0,Relationship Anarchy,50.0
36.0,Polyamory,3.0
36.0,Ethical / Consensual Non-monogamy,3.0
36.0,Relationship Anarchy,3.0
51.0,Kitchen Table Polyamory,4.25
3.0,Solo Polyamory,0.25
42.0,Ethical / Consensual Non-monogamy,3.5
120.0,Solo Polyamory,10.0
145.0,Non-hierarchical Polyamory,12.083333333333334
66.0,Solo Polyamory,5.5
68.0,Polyamory,5.666666666666667
24.0,Polyamory,2.0
105.0,Solo Polyamory,8.75
72.0,Monogamish,6.0
25.0,Solo Polyamory,2.0833333333333335
101.0,Relationship Anarchy,8.416666666666666
86.0,Hierarchical Polyamory,7.166666666666667
9.0,Relationship Anarchy,0.75
360.0,Relationship Anarchy,30.0
7.0,Solo Polyamory,0.5833333333333334
312.0,Polyamory,26.0
312.0,Solo Polyamory,26.0
42.0,Polyamory,3.5
120.0,Throuple/Triad,10.0
49.0,Relationship Anarchy,4.083333333333333
60.0,Solo Polyamory,5.0
23.0,Other CNM Type,1.9166666666666667
13.0,Throuple/Triad,1.0833333333333333
30.0,Polyamory,2.5
36.0,Polyamory,3.0
84.0,Relationship Anarchy,7.0
108.0,Polyamory,9.0
18.0,Ethical / Consensual Non-monogamy,1.5
108.0,Non-hierarchical Polyamory,9.0
47.0,Polyamory,3.9166666666666665
17.0,Ethical / Consensual Non-monogamy,1.4166666666666667
41.0,Polyamory,3.4166666666666665
264.0,Ethical / Consensual Non-monogamy,22.0
314.0,Kitchen Table Polyamory,26.166666666666668
48.0,Other CNM Type,4.0
61.0,Ethical / Consensual Non-monogamy,5.083333333333333
39.0,Polyamory,3.25
48.0,Ethical / Consensual Non-monogamy,4.0
120.0,Polyamory,10.0
96.0,Polyamory,8.0
10.0,Ethical / Consensual Non-monogamy,0.8333333333333334
180.0,Polyamory,15.0
74.0,Kitchen Table Polyamory,6.166666666666667
89.0,Non-hierarchical Polyamory,7.416666666666667
60.0,Hierarchical Polyamory,5.0
180.0,Ethical / Consensual Non-monogamy,15.0
183.0,Solo Polyamory,15.25
84.0,Polyamory,7.0
42.0,Garden Party Polyamory,3.5
17.0,Hierarchical Polyamory,1.4166666666666667
192.0,Polyamory,16.0
84.0,Open Relationship,7.0
30.0,Ethical / Consensual Non-monogamy,2.5
144.0,Polyamory,12.0
0.0,Polyamory,0.0
29.0,Relationship Anarchy,2.4166666666666665
9.0,Relationship Anarchy,0.75
46.0,Ethical / Consensual Non-monogamy,3.8333333333333335
12.0,Ethical / Consensual Non-monogamy,1.0
0.0,Monogamish,0.0
390.0,Non-hierarchical Polyamory,32.5
180.0,Ethical / Consensual Non-monogamy,15.0
144.0,Solo Polyamory,12.0
48.0,Monogamish,4.0
46.0,Hierarchical Polyamory,3.8333333333333335
168.0,Polyamory,14.0
99.0,Kitchen Table Polyamory,8.25
240.0,Polyamory,20.0
5.0,Relationship Anarchy,0.4166666666666667
16.0,Kitchen Table Polyamory,1.3333333333333333
32.0,Polyamory,2.6666666666666665
26.0,Polyamory,2.1666666666666665
86.0,Kitchen Table Polyamory,7.166666666666667
72.0,Polyamory,6.0
27.0,Non-hierarchical Polyamory,2.25
192.0,Other CNM Type,16.0
60.0,Relationship Anarchy,5.0
18.0,Polyamory,1.5
192.0,Polyamory,16.0
86.0,Kitchen Table Polyamory,7.166666666666667
360.0,Ethical / Consensual Non-monogamy,30.0
75.0,Polyamory,6.25
120.0,Ethical / Consensual Non-monogamy,10.0
60.0,Relationship Anarchy,5.0
120.0,Polyamory,10.0
168.0,Polyamory,14.0
45.0,Kitchen Table Polyamory,3.75
300.0,Fetish/BDSM non-monogamy,25.0
21.0,Polyamory,1.75
48.0,Polyamory,4.0
132.0,Ethical / Consensual Non-monogamy,11.0
176.0,Ethical / Consensual Non-monogamy,14.666666666666666
114.0,Polyamory,9.5
140.0,Polyamory,11.666666666666666
97.0,Ethical / Consensual Non-monogamy,8.083333333333334
129.0,Polyamory,10.75
60.0,Hierarchical Polyamory,5.0
108.0,Kitchen Table Polyamory,9.0
144.0,Relationship Anarchy,12.0
240.0,Polyfidelity,20.0
0.0,Relationship Anarchy,0.0
53.0,Non-hierarchical Polyamory,4.416666666666667
384.0,Garden Party Polyamory,32.0
42.0,Solo Polyamory,3.5
12.0,Relationship Anarchy,1.0
24.0,Solo Polyamory,2.0
66.0,Polyamory,5.5
48.0,Hierarchical Polyamory,4.0
384.0,Solo Polyamory,32.0
108.0,Polyamory,9.0
180.0,Other CNM Type,15.0
108.0,Ethical / Consensual Non-monogamy,9.0
72.0,Ethical / Consensual Non-monogamy,6.0
48.0,Polyamory,4.0
120.0,Solo Polyamory,10.0
37.0,Other CNM Type,3.0833333333333335
287.0,Kitchen Table Polyamory,23.916666666666668
16.0,Ethical / Consensual Non-monogamy,1.3333333333333333
189.0,Ethical / Consensual Non-monogamy,15.75
156.0,Kitchen Table Polyamory,13.0
100.0,Polyamory,8.333333333333334
80.0,Solo Polyamory,6.666666666666667
51.0,Ethical / Consensual Non-monogamy,4.25
94.0,Open Relationship,7.833333333333333
