primary_identity,secondary_identity,overlap_percentage
Garden Party Polyamory,Lifestyle/Swinger,0.022058823529411766
Hierarchical Polyamory,Lifestyle/Swinger,0.14782608695652175
Kitchen Table Polyamory,Lifestyle/Swinger,0.06883365200764818
Lifestyle/Swinger,Lifestyle/Swinger,0.9693877551020408
Monogamish,Lifestyle/Swinger,0.13636363636363635
Non-hierarchical Polyamory,Lifestyle/Swinger,0.0462046204620462
Open Relationship,Lifestyle/Swinger,0.19795221843003413
Other CNM Type,Lifestyle/Swinger,0.1504424778761062
Polyamory,Lifestyle/Swinger,0.05429553264604811
Polyfidelity,Lifestyle/Swinger,0.0
Relationship Anarchy,Lifestyle/Swinger,0.03389830508474576
Solo Polyamory,Lifestyle/Swinger,0.07692307692307693
Throuple/Triad,Lifestyle/Swinger,0.05063291139240506
All Respondents,Monogamish,0.08256880733944955
Ethical / Consensual Non-monogamy,Monogamish,0.1064453125
Fetish/BDSM non-monogamy,Monogamish,0.14583333333333334
Garden Party Polyamory,Monogamish,0.03676470588235294
Hierarchical Polyamory,Monogamish,0.0782608695652174
Kitchen Table Polyamory,Monogamish,0.0248565965583174
Lifestyle/Swinger,Monogamish,0.14795918367346939
Monogamish,Monogamish,0.8787878787878788
Non-hierarchical Polyamory,Monogamish,0.019801980198019802
Open Relationship,Monogamish,0.18771331058020477
Other CNM Type,Monogamish,0.10619469026548672
Polyamory,Monogamish,0.030927835051546393
Polyfidelity,Monogamish,0.10869565217391304
Relationship Anarchy,Monogamish,0.04943502824858757
Solo Polyamory,Monogamish,0.031135531135531136
Throuple/Triad,Monogamish,0.08860759493670886
All Respondents,Non-Hierarchical Polyamory,0.3046211348963643
Ethical / Consensual Non-monogamy,Non-Hierarchical Polyamory,0.1875
Fetish/BDSM non-monogamy,Non-Hierarchical Polyamory,0.125
Garden Party Polyamory,Non-Hierarchical Polyamory,0.27205882352941174
Hierarchical Polyamory,Non-Hierarchical Polyamory,0.013043478260869565
Kitchen Table Polyamory,Non-Hierarchical Polyamory,0.3824091778202677
Lifestyle/Swinger,Non-Hierarchical Polyamory,0.015306122448979591
Monogamish,Non-Hierarchical Polyamory,0.07575757575757576
Non-hierarchical Polyamory,Non-Hierarchical Polyamory,0.8778877887788779
Open Relationship,Non-Hierarchical Polyamory,0.07167235494880546
Other CNM Type,Non-Hierarchical Polyamory,0.19469026548672566
Polyamory,Non-Hierarchical Polyamory,0.2872852233676976
Polyfidelity,Non-Hierarchical Polyamory,0.17391304347826086
Relationship Anarchy,Non-Hierarchical Polyamory,0.4788135593220339
Solo Polyamory,Non-Hierarchical Polyamory,0.4468864468864469
Throuple/Triad,Non-Hierarchical Polyamory,0.20253164556962025
All Respondents,Open Relationship,0.33469249065579343
Ethical / Consensual Non-monogamy,Open Relationship,0.4814453125
Fetish/BDSM non-monogamy,Open Relationship,0.34375
Garden Party Polyamory,Open Relationship,0.22794117647058823
Hierarchical Polyamory,Open Relationship,0.4826086956521739
Kitchen Table Polyamory,Open Relationship,0.22562141491395793
Lifestyle/Swinger,Open Relationship,0.3010204081632653
Monogamish,Open Relationship,0.4015151515151515
Non-hierarchical Polyamory,Open Relationship,0.18811881188118812
Open Relationship,Open Relationship,0.9385665529010239
Other CNM Type,Open Relationship,0.3008849557522124
Polyamory,Open Relationship,0.28797250859106527
Polyfidelity,Open Relationship,0.1956521739130435
Relationship Anarchy,Open Relationship,0.2019774011299435
Solo Polyamory,Open Relationship,0.21428571428571427
Throuple/Triad,Open Relationship,0.21518987341772153
All Respondents,Other Cnm Type,0.0436629289840299
Ethical / Consensual Non-monogamy,Other Cnm Type,0.0361328125
Fetish/BDSM non-monogamy,Other Cnm Type,0.041666666666666664
Garden Party Polyamory,Other Cnm Type,0.022058823529411766
Hierarchical Polyamory,Other Cnm Type,0.021739130434782608
Kitchen Table Polyamory,Other Cnm Type,0.028680688336520075
Lifestyle/Swinger,Other Cnm Type,0.00510204081632653
Monogamish,Other Cnm Type,0.03787878787878788
Non-hierarchical Polyamory,Other Cnm Type,0.0627062706270627
Open Relationship,Other Cnm Type,0.017064846416382253
Other CNM Type,Other Cnm Type,0.6637168141592921
Polyamory,Other Cnm Type,0.02542955326460481
Polyfidelity,Other Cnm Type,0.13043478260869565
Relationship Anarchy,Other Cnm Type,0.0480225988700565
Solo Polyamory,Other Cnm Type,0.020146520146520148
Throuple/Triad,Other Cnm Type,0.0
All Respondents,Polyamory,0.6931702344546381
Ethical / Consensual Non-monogamy,Polyamory,0.5625
Fetish/BDSM non-monogamy,Polyamory,0.3645833333333333
Garden Party Polyamory,Polyamory,0.7941176470588235
Hierarchical Polyamory,Polyamory,0.7086956521739131
Kitchen Table Polyamory,Polyamory,0.8202676864244742
Lifestyle/Swinger,Polyamory,0.12755102040816327
Monogamish,Polyamory,0.29545454545454547
Non-hierarchical Polyamory,Polyamory,0.8052805280528053
Open Relationship,Polyamory,0.37542662116040953
Other CNM Type,Polyamory,0.5486725663716814
Polyamory,Polyamory,0.9512027491408934
Polyfidelity,Polyamory,0.6304347826086957
Relationship Anarchy,Polyamory,0.6567796610169492
Solo Polyamory,Polyamory,0.652014652014652
Throuple/Triad,Polyamory,0.6455696202531646
All Respondents,Polyfidelity,0.03618756371049949
Ethical / Consensual Non-monogamy,Polyfidelity,0.025390625
Fetish/BDSM non-monogamy,Polyfidelity,0.010416666666666666
Garden Party Polyamory,Polyfidelity,0.029411764705882353
Hierarchical Polyamory,Polyfidelity,0.0391304347826087
Kitchen Table Polyamory,Polyfidelity,0.05927342256214149
Lifestyle/Swinger,Polyfidelity,0.02040816326530612
Monogamish,Polyfidelity,0.015151515151515152
Non-hierarchical Polyamory,Polyfidelity,0.026402640264026403
Open Relationship,Polyfidelity,0.023890784982935155
Other CNM Type,Polyfidelity,0.07079646017699115
Polyamory,Polyfidelity,0.030927835051546393
Polyfidelity,Polyfidelity,0.782608695652174
Relationship Anarchy,Polyfidelity,0.011299435028248588
Solo Polyamory,Polyfidelity,0.020146520146520148
Throuple/Triad,Polyfidelity,0.16455696202531644
All Respondents,Relationship Anarchy,0.30326197757390416
Ethical / Consensual Non-monogamy,Relationship Anarchy,0.1591796875
Fetish/BDSM non-monogamy,Relationship Anarchy,0.17708333333333334
Garden Party Polyamory,Relationship Anarchy,0.18382352941176472
Hierarchical Polyamory,Relationship Anarchy,0.05652173913043478
Kitchen Table Polyamory,Relationship Anarchy,0.20650095602294455
Lifestyle/Swinger,Relationship Anarchy,0.03571428571428571
Monogamish,Relationship Anarchy,0.13636363636363635
Non-hierarchical Polyamory,Relationship Anarchy,0.37623762376237624
Open Relationship,Relationship Anarchy,0.10921501706484642
Other CNM Type,Relationship Anarchy,0.3008849557522124
Polyamory,Relationship Anarchy,0.21718213058419245
Polyfidelity,Relationship Anarchy,0.08695652173913043
Relationship Anarchy,Relationship Anarchy,0.9576271186440678
Solo Polyamory,Relationship Anarchy,0.46153846153846156
Throuple/Triad,Relationship Anarchy,0.0379746835443038
All Respondents,Solo Polyamory,0.23190621814475026
Ethical / Consensual Non-monogamy,Solo Polyamory,0.1474609375
Fetish/BDSM non-monogamy,Solo Polyamory,0.15625
Garden Party Polyamory,Solo Polyamory,0.1323529411764706
Hierarchical Polyamory,Solo Polyamory,0.05652173913043478
Kitchen Table Polyamory,Solo Polyamory,0.11854684512428298
Lifestyle/Swinger,Solo Polyamory,0.030612244897959183
Monogamish,Solo Polyamory,0.09848484848484848
Non-hierarchical Polyamory,Solo Polyamory,0.21782178217821782
Open Relationship,Solo Polyamory,0.08532423208191127
Other CNM Type,Solo Polyamory,0.21238938053097345
Polyamory,Solo Polyamory,0.12920962199312716
Polyfidelity,Solo Polyamory,0.10869565217391304
Relationship Anarchy,Solo Polyamory,0.3531073446327684
Solo Polyamory,Solo Polyamory,0.9578754578754579
Throuple/Triad,Solo Polyamory,0.05063291139240506
All Respondents,Throuple/Triad,0.07390417940876656
Ethical / Consensual Non-monogamy,Throuple/Triad,0.05078125
Fetish/BDSM non-monogamy,Throuple/Triad,0.07291666666666667
Garden Party Polyamory,Throuple/Triad,0.007352941176470588
Hierarchical Polyamory,Throuple/Triad,0.05217391304347826
Kitchen Table Polyamory,Throuple/Triad,0.11663479923518165
Lifestyle/Swinger,Throuple/Triad,0.05102040816326531
Monogamish,Throuple/Triad,0.030303030303030304
Non-hierarchical Polyamory,Throuple/Triad,0.0462046204620462
Open Relationship,Throuple/Triad,0.06143344709897611
Other CNM Type,Throuple/Triad,0.07079646017699115
Polyamory,Throuple/Triad,0.07422680412371134
Polyfidelity,Throuple/Triad,0.2391304347826087
Relationship Anarchy,Throuple/Triad,0.046610169491525424
Solo Polyamory,Throuple/Triad,0.04212454212454213
Throuple/Triad,Throuple/Triad,0.9240506329113924
